ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_auditing_guidelines
Audit & Assurance - A&A,,,,
Audit & Assurance,Audit and Assurance Policy and Procedures,A&A-01,"Establish, document, approve, communicate, apply, evaluate and maintain
audit and assurance policies and procedures and standards. Review and update
the policies and procedures at least annually.
","1. Examine policy and procedures to confirm content adequacy in terms of purpose, authority and accountability, responsibilities, planning, communication, reporting, and follow-up.
2. Examine audit charter and determine if independence, impartiality, and objectivity are guaranteed.
3. Examine policy and procedures for evidence of review at least annually.
"
Audit & Assurance,Independent Assessments,A&A-02,"Conduct independent audit and assurance assessments according to
relevant standards at least annually.
","1. Examine the process to determine standards and regulations applicable to the organization's systems and environments.
2. Determine if the organization maintains and reviews a list of such standards and regulations.
3. Determine if senior management exercises oversight over the independence of the assessment process.
4. Determine if the audit plan is informed by previous assessments, and is scheduled on an annual basis.
"
Audit & Assurance,Risk Based Planning Assessment,A&A-03,"Perform independent audit and assurance assessments according to
risk-based plans and policies.
","1. Examine the process for determining the risks applicable to the organization's systems and environments.
2. Determine if a list of such risks is maintained and reviewed.
3. Determine if senior management exercises oversight over the applicable risks.
4. Determine if the audit plan is risk-based, and is scheduled on an annual basis.
"
Audit & Assurance,Requirements Compliance,A&A-04,"Verify compliance with all relevant standards, regulations, legal/contractual,
and statutory requirements applicable to the audit.
","1. Examine the process for determining the standards and regulations applicable to the organization's systems and environments.
2. Examine the process to determine contractual, legal, and technical requirements applicable to the organization's systems and environments.
3. Determine if the organization maintains and reviews a list of relevant standards, regulations, legal/contractual, and statutory requirements. 
4. Determine if senior management exercises oversight over this control specification. 
5. Determine if the audit plan is informed by the list of the organization's requirements.
"
Audit & Assurance,Audit Management Process,A&A-05,"Define and implement an Audit Management process to support audit
planning, risk analysis, security control assessment, conclusion, remediation
schedules, report generation, and review of past reports and supporting evidence.
","1. Examine policy related to the establishment and conduct of audits.
2. Determine if audit programs are established and aligned to the requirements of the organization, including the audit charter.
3. Determine if the organization upholds the independence of the audit program.
4. Determine if the conduct of audits is defined, approved at the appropriate level, and reviewed for effectiveness.
"
Audit & Assurance,Remediation,A&A-06,"Establish, document, approve, communicate, apply, evaluate and maintain
a risk-based corrective action plan to remediate audit findings, review and
report remediation status to relevant stakeholders.
","1. Examine if the outputs of audits are defined by the policy.
2. Determine if the audit findings are reviewed and if appropriate reports are made available to users and senior management.
3. Determine if the identification of risks from audit findings, or changes to them, are made available to users.
4. Determine if corrective actions proposed are planned to align with the organization's risk profile.
5. Determine if a process exists to track changes in risk rating and is used to update risk registers, particularly with regard to residual risk.
6. Examine a sample of proposed corrective actions and determine if they were followed-up in a manner consistent with the organization's policy.
7. Examine audit programs to determine if they are subject to continuous improvement through feedback, review and revisions.
8. Examine if a process exists to review the audit program in light of current and past audits.
"
Application & Interface Security,Application and Interface Security Policy and Procedures,AIS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for application security to provide guidance to the
appropriate planning, delivery and support of the organization's application
security capabilities. Review and update the policies and procedures at least
annually.
","1. Examine policy and procedures for adequacy, approval, communication, and effectiveness as applicable to planning, delivery, and support of the organization's application security capabilities.
2. Examine policy and procedures for evidence of review at least annually.
"
Application & Interface Security,Application Security Baseline Requirements,AIS-02,"Establish, document and maintain baseline requirements for securing
different applications.
","1. Examine policy and procedures for adequacy and effectiveness.
2. Determine if security baseline requirements of respective applications are clearly defined.
3. Examine the process to determine the baseline for an application.
"
Application & Interface Security,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment
with business objectives, security requirements, and compliance obligations.
","1. Examine policy and procedures for definition of operational metrics, security, and compliance requirements.
"
Application & Interface Security,Secure Application Design and Development,AIS-04,"Define and implement a SDLC process for application design, development,
deployment, and operation in accordance with security requirements defined by
the organization.
","1. Examine policy and procedures for definition of SDLC (Software Development Lifecycle), security, and compliance requirements.
2. Examine the state of implementation of the SDLC process.
3. Verify that the SDLC implementation is in accordance with requirements.
"
Application & Interface Security,Automated Application Security Testing,AIS-05,"Implement a testing strategy, including criteria for acceptance of
new information systems, upgrades and new versions, which provides application
security assurance and maintains compliance while enabling organizational speed
of delivery goals. Automate when applicable and possible.
","1. Examine policy and procedures for definition of testing strategies, automation of security testing, and change management.
2. Determine security assurance and acceptance criteria for the new information system(s).
3. Determine if the software release process is automated where applicable.
"
Application & Interface Security,Automated Secure Application Deployment,AIS-06,"Establish and implement strategies and capabilities for secure, standardized,
and compliant application deployment. Automate where possible.
","1. Examine policy and procedures for implementation of application deployment. 
2. Determine if segregation of duties (role and responsibilities) is clearly defined among security and application teams.
3. Determine if Identification and integration process is defined and verified for application deployment processes. 
4. Evaluate the extent of automation deployed, and criteria used.
"
Application & Interface Security,Application Vulnerability Remediation,AIS-07,"Define and implement a process to remediate application security
vulnerabilities, automating remediation when possible.
","1. Examine the policy and procedures to remediate application security vulnerabilities and automating remediation.
2. Evaluate whether roles and responsibilities, including escalation paths for application security incident response and remediation, are defined and effective.
3. Determine if the organization leverages automation when possible and if this automation increases remediation efficiency.
"
Business Continuity Management and Operational Resilience,Business Continuity Management Policy and Procedures,BCR-01,"Establish, document, approve, communicate, apply, evaluate and maintain
business continuity management and operational resilience policies and procedures.
Review and update the policies and procedures at least annually.
","1. Examine policy and procedures for adequacy, approval, communication, and effectiveness as applicable to business continuity and resilience.
2. Examine policy and procedures for evidence of review at least annually.
"
Business Continuity Management and Operational Resilience,Risk Assessment and Impact Analysis,BCR-02,"Determine the impact of business disruptions and risks to establish
criteria for developing business continuity and operational resilience strategies
and capabilities.
","1. Examine the policy to determine business impact and the criteria for developing business continuity.
2. Evaluate the process to review and approve the  policy.
"
Business Continuity Management and Operational Resilience,Business Continuity Strategy,BCR-03,"Establish strategies to reduce the impact of, withstand, and recover
from business disruptions within risk appetite.
","1. Determine if the organization has established a risk appetite.
2. Determine if the organization has established strategies to reduce impact of business disruptions, within the organization’s risk appetite.
"
Business Continuity Management and Operational Resilience,Business Continuity Planning,BCR-04,"Establish, document, approve, communicate, apply, evaluate and maintain
a business continuity plan based on the results of the operational resilience
strategies and capabilities.
","1. Examine the policy for adequacy, approval, communication, and effectiveness as applicable to planning, delivery, and support of the organization's application security capabilities.
2. Evaluate if the organization’s operational resilience strategies and capabilities are used as an input for the policy and implementation.
3. Examine policy and procedures for evidence of review.
"
Business Continuity Management and Operational Resilience,Documentation,BCR-05,"Develop, identify, and acquire documentation that is relevant to
support the business continuity and operational resilience programs. Make the
documentation available to authorized stakeholders and review periodically.
","1. Examine the process for determining the documentation required to support business continuity and operational resilience.
2. Examine the process for developing or acquiring such documentation and maintaining its currency.
3. Evaluate the process and implementation of identifying stakeholders and making documentation available.
4. Examine the policy and procedures for evidence of review.
"
Business Continuity Management and Operational Resilience,Business Continuity Exercises,BCR-06,"Exercise and test business continuity and operational resilience
plans at least annually or upon significant changes.
","1. Examine the plans for business continuity and operational resilience tests, with reference to their intended outputs.
2. Examine the schedules of such tests and their periodicity.
3. Evaluate if the plans are tested upon significant changes, or at least annually.
"
Business Continuity Management and Operational Resilience,Communication,BCR-07,"Establish communication with stakeholders and participants in the
course of business continuity and resilience procedures.
","1. Examine the policy for determining stakeholders and participants.
2. Determine if the organization has identified stakeholders and participants.
3. Examine the procedures for communication with identified stakeholders and participants.
"
Business Continuity Management and Operational Resilience,Backup,BCR-08,"Periodically backup data stored in the cloud. Ensure the confidentiality,
integrity and availability of the backup, and verify data restoration from backup
for resiliency.
","1. Examine the policy for identifying data for which a backup is required.
2. Examine the requirements for the security of such backups.
3. Evaluate the effectiveness of the backup and restore.
"
Business Continuity Management and Operational Resilience,Disaster Response Plan,BCR-09,"Establish, document, approve, communicate, apply, evaluate and maintain
a disaster response plan to recover from natural and man-made disasters. Update
the plan at least annually or upon significant changes.
","1. Examine the policy and procedures for adequacy, approval, communication, and effectiveness as applicable to a disaster response plan.
2. Examine the policy and procedures for evidence of review, upon significant changes, or at least annually.
"
Business Continuity Management and Operational Resilience,Response Plan Exercise,BCR-10,"Exercise the disaster response plan annually or upon significant
changes, including if possible local emergency authorities.
","1. Examine the policy for planning and scheduling disaster response exercises, and involving local emergency authorities, if possible.
2. Evaluate if plans are tested upon significant changes, or at least annually.
"
Business Continuity Management and Operational Resilience,Equipment Redundancy,BCR-11,"Supplement business-critical equipment with redundant equipment independently
located at a reasonable minimum distance in accordance with applicable industry
standards.
","1. Examine the process to identify business-critical equipment and any redundant equipment.
2. Examine the process to identify applicable industry standards.
3. Evaluate if the redundant business-critical equipment is independently located at a reasonable distance.
"
Change Control and Configuration Management,Change Management Policy and Procedures,CCC-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for managing the risks associated with applying changes
to organization assets, including application, systems, infrastructure, configuration,
etc., regardless of whether the assets are managed internally or externally
(i.e., outsourced). Review and update the policies and procedures at least annually.
","1. Examine policy and procedures to determine if they cover necessary parts of change management, including scope, documentation, testing, approval, and emergency changes.
2. Examine a sample record of changes to information assets, including systems, networks, and network services to determine if compliance is met with the organization's change management policy and procedures.
3. Examine if the policy and procedures are reviewed and updated at least annually.
"
Change Control and Configuration Management,Quality Testing,CCC-02,"Follow a defined quality change control, approval and testing process
with established baselines, testing, and release standards.
","1. Examine relevant documentation, observe relevant processes, and/or interview the control owner(s),  relevant stakeholders, for change management and determine if the policy control requirements provided in the policy have been implemented.
2. Examine measures that evaluate(s) the organization's compliance with the change and configuration management policy and determine if these measures are implemented according to policy control requirements.
"
Change Control and Configuration Management,Change Management Technology,CCC-03,"Manage the risks associated with applying changes to organization
assets, including application, systems, infrastructure, configuration, etc.,
regardless of whether the assets are managed internally or externally (i.e.,
outsourced).
","1. Examine policy related to the change management of assets.
2. Examine the policy for the identification of risks arising from these changes being applied.
3. Determine if assets are classified based on their management responsibility, and if these have specific risk profiles.
"
Change Control and Configuration Management,Unauthorized Change Protection,CCC-04,"Restrict the unauthorized addition, removal, update, and management
of organization assets.
","1. Examine the policy relating to the authorisation of changes in assets.
2. Examine the implementation of such policy,  technical controls, and their effectiveness.
"
Change Control and Configuration Management,Change Agreements,CCC-05,"Include provisions limiting changes directly impacting CSCs owned
environments/tenants to explicitly authorized requests within service level
agreements between CSPs and CSCs.
","1. Examine policy and/or procedures related to change management to determine whether provisions are included for limiting changes directly impacting CSCs owned environments/tenants to explicitly authorized requests within service level agreements between CSPs and CSCs.
2. Examine relevant documentation, observe relevant processes, and/or interview the control owner(s), and/or relevant stakeholders, as needed, for change agreements and determine if the policy control requirements stipulated in the policy have been implemented.
3. Examine measures that evaluate the organization's change agreement policy and determine if these measures are implemented according to policy control requirements.
"
Change Control and Configuration Management,Change Management Baseline,CCC-06,"Establish change management baselines for all relevant authorized
changes on organization assets.
","1. Examine policy and/or standards related to change management to determine if changes are formally controlled, documented and enforced to minimize the corruption of information systems.
2. Determine if the introduction of new systems and major changes to existing systems are formally documented, specified, tested, quality controlled, and the implementation managed.
"
Change Control and Configuration Management,Detection of Baseline Deviation,CCC-07,"Implement detection measures with proactive notification in case
of changes deviating from the established baseline.
","1. Examine measures that evaluate the organization's compliance with the change management policy and determine if these measures are implemented according to policy control requirements.
"
Change Control and Configuration Management,Exception Management,CCC-08,"'Implement a procedure for the management of exceptions, including
emergencies, in the change and configuration process. Align the procedure with
the requirements of GRC-04: Policy Exception Process.'
","1. Verify that the organization establishes and documents mandatory configuration settings for information technology products employed within the information system, as determined by adoption of the latest suitable security configuration baselines.
2. Confirm that the process identifies, documents, and approves exceptions from the mandatory established configuration settings for individual components based on explicit operational requirements.
3. Determine that the organization monitors and controls changes to the configuration settings in accordance with organizational policy and procedures.
"
Change Control and Configuration Management,Change Restoration,CCC-09,"Define and implement a process to proactively roll back changes to
a previous known good state in case of errors or security concerns.
","1. Examine policy and/or procedures related to change management and determine if roll back procedures are defined and implemented, including procedures and responsibilities for aborting and recovering from unsuccessful changes and unforeseen events.
2. Examine relevant documentation, observe relevant processes, and/or interview the control owner(s) and/or relevant stakeholders, as needed to ensure that roll back procedures are defined and implemented and determine if the policy control requirements stipulated in the policy have been implemented. Select a sample of changes and examine the change management record to confirm that the change was assessed and included appropriate fallback procedures in the event of a failed change.
3. Examine measure(s) that evaluate(s) the organization's compliance with the change management policy and determine if these measures are implemented according to policy control requirements.
4. Obtain and examine supporting documentation maintained as evidence of these metrics, measures, tests, or audits to determine if the office or individual responsible reviews the information and, if issues were identified, they were investigated and corrected.
"
"Cryptography, Encryption & Key Management",Encryption and Key Management Policy and Procedures,CEK-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Cryptography, Encryption and Key Management. Review
and update the policies and procedures at least annually.
","1. Review cryptography, encryption, and key management policy and procedures and confirm that these have been approved by appropriate management.
2. Confirm that the policy and procedures are reviewed at least annually.
"
