ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_maps2_aicpa_2017_ctrls,ccm4_0_12_ctrl_maps2_aicpa_2017_gap_level,ccm4_0_12_ctrl_maps2_aicpa_2017_addendum,ccm4_0_12_ctrl_maps2_ccmv3_0_1_ctrls,ccm4_0_12_ctrl_maps2_ccmv3_0_1_gap_level,ccm4_0_12_ctrl_maps2_ccmv3_0_1_addendum,ccm4_0_12_ctrl_maps2_cis_v8_ctrls,ccm4_0_12_ctrl_maps2_cis_v8_gap_level,ccm4_0_12_ctrl_maps2_cis_v8_addendum,ccm4_0_12_ctrl_maps2_isf_sogp_2022_ctrls,ccm4_0_12_ctrl_maps2_isf_sogp_2022_gap_level,ccm4_0_12_ctrl_maps2_isf_sogp_2022_addendum,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_ctrls,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_gap_level,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_addendum,ccm4_0_12_ctrl_maps2_iso_2700x_2022_ctrls,ccm4_0_12_ctrl_maps2_iso_2700x_2022_gap_level,ccm4_0_12_ctrl_maps2_iso_2700x_2022_addendum,ccm4_0_12_ctrl_maps2_nist_800_53r5_ctrls,ccm4_0_12_ctrl_maps2_nist_800_53r5_gap_level,ccm4_0_12_ctrl_maps2_nist_800_53r5_addendum,ccm4_0_12_ctrl_maps2_nist_csf_1_1_ctrls,ccm4_0_12_ctrl_maps2_nist_csf_1_1_gap_level,ccm4_0_12_ctrl_maps2_nist_csf_1_1_addendum,ccm4_0_12_ctrl_maps2_nist_csf_2_0_ctrls,ccm4_0_12_ctrl_maps2_nist_csf_2_0_gap_level,ccm4_0_12_ctrl_maps2_nist_csf_2_0_addendum,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_ctrls,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_gap_level,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_addendum,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_ctrls,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_gap_level,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_addendum
Audit & Assurance - A&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit & Assurance,Audit and Assurance Policy and Procedures,A&A-01,"Establish, document, approve, communicate, apply, evaluate and maintain
audit and assurance policies and procedures and standards. Review and update
the policies and procedures at least annually.
","CC2.2
CC2.3
CC3.2
CC5.3",Partial Gap,"Missing specification(s) in TSC 2017:
'Review and update the policies and procedures at least annually'.","GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'apply and evaluate audit and assurance policies, procedures and standards'
Requirement of 'at least annually' in last sentence.",8.1,Partial Gap,"Recommend the full V4 control specification to be used to close the gap.
Portion in the mapped control(s) contributing to the partial gap, that
is, covering in part the V4 control:
(8.1) 'Establish and maintain an audit log management process',
'Review and update documentation annually'.","AS1.1
AS2.1",Partial Gap,"Missing specification(s) in SOGP:
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.2
27001: 9.3
27001: A.5
27002: 5",Partial Gap,"Missing specification(s) in ISOs:
Requirement of 'at least annually' in last sentence.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.2
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.37",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.",CA-1,No Gap,N/A,"ID.GV-1
ID.GV-3
ID.GV-4",Partial Gap,"Missing specification(s) in the CSF: 
'Document, approve, apply, evaluate and maintain audit and assurance policies and procedures and standards'.
'audit and assurance policies and procedures'.
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'audit and assurance policies and procedures and standards'
'at least annually'.","12.1
12.1.1
12.11",Partial Gap,"Missing specification(s) in PCI DSS:
'approve audit and assurance policies and procedures and standards'.","12.1.1
12.1.2",Partial Gap,"Missing specification(s) in PCI DSS:
'approve audit and assurance policies and procedures and standards'."
Audit & Assurance,Independent Assessments,A&A-02,"Conduct independent audit and assurance assessments according to
relevant standards at least annually.
",CC4.1,Partial Gap,"Missing specification(s) in TSC 2017:
'at least annually'.",AAC-02,No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"AS1.1
AS2.1",Partial Gap,"Missing specification(s) in SOGP: 
'conduct independent audit at least annually'.","27001: A.18.2.1
27002: 18.2.1",Partial Gap,"Missing specification(s) in ISOs:
Terms 'audit and assurance' and 'at least annually' are not specifically called out.","27001: A.5.35
27001: A.5.36",Partial Gap,"Missing specification(s) in ISOs:
'at least annually'.","CA-2
CA-2(1)
CA-2(2)
CA-7
CA-7(1)",No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from CSF and has to be used to close the gap.,ID.IM-01,Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF control(s) cover in part the high specificity of the CCM control objective.,No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Audit & Assurance,Risk Based Planning Assessment,A&A-03,"Perform independent audit and assurance assessments according to
risk-based plans and policies.
",CC4.1,No Gap,N/A,"AAC-01
AAC-02",No Gap,N/A,7.2,Partial Gap,"Recommend the full V4 control specification to be used to close the gap.
Portion in the mapped control(s) contributing to the partial gap, that
is, covering in part the V4 control: (7.2) 'Establish and maintain
a risk-based remediation strategy'.",AS2.2,No Gap,N/A,"27001: 9.3.2
27001: A.18.2.1
27002: 18.2.1
27018: 18.2.1",No Gap,N/A,"27001: 9.3.2
27001: A.5.35
27001: A.5.36",No Gap,N/A,"CA-2
CA-2(1)-(3)
PL-10
PL-11",No Gap,N/A,ID.GV-4,Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the CCM control objective.,"ID.IM-01
GV.RM-03",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF control(s) cover in part the high specificity of the CCM control objective.,No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Audit & Assurance,Requirements Compliance,A&A-04,"Verify compliance with all relevant standards, regulations, legal/contractual,
and statutory requirements applicable to the audit.
",CC3.1,No Gap,N/A,"GRM-01
GRM-03",No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"AS1.1
AS2.2",No Gap,N/A,"27001: 9.3.2
27001: A.18.2.2
27002: 18.2.2
27001: A.18.2.3
27002: 18.2.3",No Gap,N/A,"27001: 9.3.2
27001: A.5.31
27001: A.5.32
27001: A.5.33
27001: A.5.34
27001: A.5.36",No Gap,N/A,CA-1,No Gap,N/A,"ID.GV-3
DE.DP-2",Partial Gap,"Missing specification(s) in the CSF: 
'Verify compliance with all relevant standards'.",ID.IM-01,Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF control(s) cover in part the high specificity of the CCM control objective.,No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Audit & Assurance,Audit Management Process,A&A-05,"Define and implement an Audit Management process to support audit
planning, risk analysis, security control assessment, conclusion, remediation
schedules, report generation, and review of past reports and supporting evidence.
","CC3.1
CC3.2",Partial Gap,"Missing specification(s) in TSC 2017:
'audit planning, security control assessment, conclusion,
remediation schedules, report generation, and review of past reports and
supporting evidence'.",AAC-01,Partial Gap,"Recommend the full V4 control specification to be used to close the gap.
Portion in the mapped control(s) contributing to the partial gap, that is, covering in part the V4 control:  (AAC-01) 'Audit plans shall be developed' and 'Auditing plans shall focus on reviewing the effectiveness of the implementation of security operations'.",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"AS1.1
AS2.1
AS2.3",No Gap,N/A,"27001: 9.2
27001: 9.3
27001: A.18.2.2
27002: 18.2.2",No Gap,N/A,"27001: 9.2
27001: 9.3
27001: A.5.36",No Gap,N/A,"CA-1
CA-2
PM-4",No Gap,N/A,PR.PT-1,Partial Gap,"Missing specification(s) in the CSF:
'Implement an Audit Management process to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, and review of past reports'.","ID.IM-01
ID.RA-03
ID.RA-04
ID.RA-05
ID.RA-06
ID.RA-07",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF control(s) cover in part the high specificity of the CCM control objective.,No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Audit & Assurance,Remediation,A&A-06,"Establish, document, approve, communicate, apply, evaluate and maintain
a risk-based corrective action plan to remediate audit findings, review and
report remediation status to relevant stakeholders.
",CC3.2,Partial Gap,"Recommend the full V4 control specification to be used to close the gap.
Portion in the mapped control(s) contributing to the partial gap, that
is, covering in part the V4 control:
(CC3.2) 'Determines How to Respond to Risks'.","GRM-10
GRM-11",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'Establish, document, approve, communicate, apply, evaluate and maintain a risk-based corrective action plan'",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"AS2.4
AS2.5",No Gap,N/A,"27001: 7.3
27001: 7.4
27001: 7.5
27001: 8.2
27001: 8.3
27001: 9.3.2.d
27001: 10
27001: A.18.2.2
27002: 18.2.2",Partial Gap,"Missing specification(s) in ISOs:
'Establish, document, approve, communicate, apply, evaluate and maintain a risk-based corrective action plan to remediate audit findings'.","27001: 7.3
27001: 7.4
27001: 7.5
27001: 8.2
27001: 8.3
27001: 9.3.2.d
27001: 10
27001: A.5.36
27001: A.5.37
27002: 5.36",No Gap,N/A,"CA-5
CA-5(1)
PM-4",No Gap,N/A,ID.RA-6,Partial Gap,"Missing specification(s) in the CSF:
'plan to report remediation status to relevant stakeholders'.",ID.RA-6,Partial Gap,"Missing specification(s) in the CSF:
'plan to report remediation status to relevant stakeholders'.",No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Application & Interface Security,Application and Interface Security Policy and Procedures,AIS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for application security to provide guidance to the
appropriate planning, delivery and support of the organization's application
security capabilities. Review and update the policies and procedures at least
annually.
","CC2.2
CC2.3
CC5.3
CC7.3",Partial Gap,"Missing specification(s) in TSC 2017:
'Review and update the policies and procedures at least annually'.","AIS-01
AIS-04",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'apply, evaluate, maintain policies and procedures for application security'
Requirement of 'at least annually' in last sentence.",16.1,Partial Gap,"Missing specification(s) in CISv8:
'Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for application security'.","SD1.1
SD1.2
BA1.1
BA1.2",Partial Gap,"Missing specification(s) in SOGP:
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.14.2.1
27002: 14.2.1
27017: 14.2.1
27001: A.14.2.5
27001: 14.2.5
27017: 14.2.5",Partial Gap,"Missing specification(s) in ISOs:
'to review and update the policies and procedures at least annually.'","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.37
27001: A.8.25
27001: A.8.27
27001: A.8.28
27001: A.8.29",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","CM-3
CM-3(2)
PM-20
PM-20(1)
SA-1
SA-4
SA-8
SA-8(29)-(33)
SI-17",No Gap,N/A,"ID.GV-1
ID.GV-2
ID.GV-3",Partial Gap,"Missing specification(s) in the CSF: 
'Document, approve, apply, evaluate and maintain policies and procedures'.
'policies and procedures for application security'. 
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
ID.IM-03",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'policies and procedures for application security'
'at least annually'.","6.7
12.1
12.1.1
12.11",Partial Gap,"Missing specification(s) in PCI DSS:
'approve policies and procedures for application security'.","12.1.1
12.1.2
6.1.1
6.2.1
6.2.3",No Gap,N/A
Application & Interface Security,Application Security Baseline Requirements,AIS-02,"Establish, document and maintain baseline requirements for securing
different applications.
","CC8.1
CC4.1
CC5.3",Partial Gap,"Missing specification(s) in TSC 2017:
Requirements to 'document baseline requirements for securing different
applications'.",AIS-01,No Gap,N/A,16.7,No Gap,N/A,"SD2.1
BA1.1",No Gap,N/A,"27001: A.5.1.1
27017: 5.1.1
27001: A.7.2.2
27002: 7.2.2",Partial Gap,"Missing specification(s) in ISOs:
ISO does not explicitly stipulate baseline requirements for securing different applications.","27001: A.5.1
27001: A.8.25
27001: A.8.26
27002: 5.1 (l)
27002: 8.25 (c)",Partial Gap,"Missing specification(s) in ISOs:
'baseline requirements (for securing applications)'.","CM-2
CM-2(2)
CM-2(3)
SA-8
SA-8(8)
SA-8(14)
SA-8(23)
SA-8(29)
SA-8(31)",No Gap,N/A,"PR.IP-1
PR.IP-2",No Gap,N/A,"PR.PS-01
ID.AM-08",No Gap,N/A,"6.3
11.4",No Gap,N/A,6.2.1,No Gap,N/A
Application & Interface Security,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment
with business objectives, security requirements, and compliance obligations.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,16.2,Partial Gap,"Missing specification(s) in CISv8:
'metrics in alignment with business objectives'.","AS1.1
AS1.3
SD2.9
SM2.5",No Gap,N/A,"27001: 9.1
27001: A.18.2.2
27002: 18.2.2",Partial Gap,"Missing specification(s) in ISOs:
ISO does not explicitly specify the need to implement technical and operational metrics in alignment with business objectives, security requirements, and compliance obligations.","27001: 9.1
27001: A.8.25
27001: A.5.36
27002: 8.25 (d)",Partial Gap,"Missing specification(s) in ISOs:
'Define and implement technical and operational metrics'.","SA-15
SA-15(1)",No Gap,N/A,PR.IP-8,Partial Gap,"Missing specification(s) in the CSF: 
'Define and implement technical and operational metrics in alignment with compliance obligations'.","ID.IM-03
GV.OV-03",Partial Gap,"Missing specification(s) in the CSF: 
'technical and operational metrics'.",No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
