sp800_53b_ctrl_id,sp800_53b_ctrl_domain,sp800_53b_ctrl_title,sp800_53b_ctrl_withdrawn,sp800_53b_baseline_privacy,sp800_53b_security_baseline_low,sp800_53b_security_baseline_moderate,sp800_53b_security_baseline_high
AC-1,Access Control,Policy and Procedures,,x ,x,x,x
AC-2,Access Control,Account Management,,,x,x,x
AC-2(1),Access Control,Account Management | Automated System Account Management,,,,x,x
AC-2(2),Access Control,Account Management | Automated Temporary and Emergency Account Management,,,,x,x
AC-2(3),Access Control,Account Management | Disable Accounts,,,,x,x
AC-2(4),Access Control,Account Management | Automated Audit Actions,,,,x,x
AC-2(5),Access Control,Account Management | Inactivity Logout,,,,x,x
AC-2(6),Access Control,Account Management | Dynamic Privilege Management,,,,,
AC-2(7),Access Control,Account Management | Privileged User Accounts,,,,,
AC-2(8),Access Control,Account Management | Dynamic Account Management,,,,,
AC-2(9),Access Control,Account Management | Restrictions on Use of Shared and Group Accounts,,,,,
AC-2(10),Access Control,Account Management | Shared and Group Account Credential Change,W: Incorporated into AC-2k.,,,,
AC-2(11),Access Control,Account Management | Usage Conditions,,,,,x
AC-2(12),Access Control,Account Management | Account Monitoring for Atypical Usage,,,,,x
AC-2(13),Access Control,Account Management | Disable Accounts for High-risk Individuals,,,,x,x
AC-3,Access Control,Access Enforcement,,,x,x,x
AC-3(1),Access Control,Access Enforcement | Restricted Access to Privileged Functions,W: Incorporated into AC-6.,,,,
AC-3(2),Access Control,Access Enforcement | Dual Authorization,,,,,
AC-3(3),Access Control,Access Enforcement | Mandatory Access Control,,,,,
AC-3(4),Access Control,Access Enforcement | Discretionary Access Control,,,,,
AC-3(5),Access Control,Access Enforcement | Security-relevant Information,,,,,
AC-3(6),Access Control,Access Enforcement | Protection of User and System Information,W: Incorporated into MP-4 and SC-28.,,,,
AC-3(7),Access Control,Access Enforcement | Role-based Access Control,,,,,
AC-3(8),Access Control,Access Enforcement | Revocation of Access Authorizations,,,,,
AC-3(9),Access Control,Access Enforcement | Controlled Release,,,,,
AC-3(10),Access Control,Access Enforcement | Audited Override of Access Control Mechanisms,,,,,
AC-3(11),Access Control,Access Enforcement | Restrict Access to Specific Information Types,,,,,
AC-3(12),Access Control,Access Enforcement | Assert and Enforce Application Access,,,,,
AC-3(13),Access Control,Access Enforcement | Attribute-based Access Control,,,,,
AC-3(14),Access Control,Access Enforcement | Individual Access,,x ,,,
AC-3(15),Access Control,Access Enforcement | Discretionary and Mandatory Access Control,,,,,
AC-4,Access Control,Information Flow Enforcement,,,,x,x
AC-4(1),Access Control,Information Flow Enforcement | Object Security and Privacy Attributes,,,,,
AC-4(2),Access Control,Information Flow Enforcement | Processing Domains,,,,,
AC-4(3),Access Control,Information Flow Enforcement | Dynamic Information Flow Control,,,,,
AC-4(4),Access Control,Information Flow Enforcement | Flow Control of Encrypted Information,,,,,x
AC-4(5),Access Control,Information Flow Enforcement | Embedded Data Types,,,,,
AC-4(6),Access Control,Information Flow Enforcement | Metadata,,,,,
AC-4(7),Access Control,Information Flow Enforcement | One-way Flow Mechanisms,,,,,
AC-4(8),Access Control,Information Flow Enforcement | Security and Privacy Policy Filters,,,,,
AC-4(9),Access Control,Information Flow Enforcement | Human Reviews,,,,,
AC-4(10),Access Control,Information Flow Enforcement | Enable and Disable Security or Privacy Policy Filters,,,,,
AC-4(11),Access Control,Information Flow Enforcement | Configuration of Security or Privacy Policy Filters,,,,,
AC-4(12),Access Control,Information Flow Enforcement | Data Type Identifiers,,,,,
AC-4(13),Access Control,Information Flow Enforcement | Decomposition into Policy-relevant Subcomponents,,,,,
AC-4(14),Access Control,Information Flow Enforcement | Security or Privacy Policy Filter Constraints,,,,,
AC-4(15),Access Control,Information Flow Enforcement | Detection of Unsanctioned Information,,,,,
AC-4(16),Access Control,Information Flow Enforcement | Information Transfers on Interconnected Systems,W: Incorporated into AC-4.,,,,
AC-4(17),Access Control,Information Flow Enforcement | Domain Authentication,,,,,
AC-4(18),Access Control,Information Flow Enforcement | Security Attribute Binding,W: Incorporated into AC-16.,,,,
AC-4(19),Access Control,Information Flow Enforcement | Validation of Metadata,,,,,
AC-4(20),Access Control,Information Flow Enforcement | Approved Solutions,,,,,
AC-4(21),Access Control,Information Flow Enforcement | Physical or Logical Separation of Information Flows,,,,,
AC-4(22),Access Control,Information Flow Enforcement | Access Only,,,,,
AC-4(23),Access Control,Information Flow Enforcement | Modify Non-releasable Information,,,,,
AC-4(24),Access Control,Information Flow Enforcement | Internal Normalized Format,,,,,
AC-4(25),Access Control,Information Flow Enforcement | Data Sanitization,,,,,
AC-4(26),Access Control,Information Flow Enforcement | Audit Filtering Actions,,,,,
AC-4(27),Access Control,Information Flow Enforcement | Redundant/independent Filtering Mechanisms,,,,,
AC-4(28),Access Control,Information Flow Enforcement | Linear Filter Pipelines,,,,,
AC-4(29),Access Control,Information Flow Enforcement | Filter Orchestration Engines,,,,,
AC-4(30),Access Control,Information Flow Enforcement | Filter Mechanisms Using Multiple Processes,,,,,
AC-4(31),Access Control,Information Flow Enforcement | Failed Content Transfer Prevention,,,,,
AC-4(32),Access Control,Information Flow Enforcement | Process Requirements for Information Transfer,,,,,
AC-5,Access Control,Separation of Duties,,,,x,x
